epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,327.575,0.96551,2.68731,0.62084,0.80779,1.00418,1,0.98771,0.995,0.72734,0.96934,0.95827,0.96422,0.32377,0.90821,3.28173,0.62245,0.70966,0.96393,0.00080597,0.00080597,0.00080597
29,338.92,1.09528,3.00981,0.65609,0.89238,1.02104,1,0.98724,0.995,0.74718,0.99689,0.93939,0.96278,0.41781,0.93607,2.91914,0.61385,0.75937,0.97693,0.000823992,0.000823992,0.000823992
30,350.486,0.93402,2.49352,0.61508,0.71142,0.96267,0.99518,1,0.995,0.75188,0.99518,1,0.995,0.47741,0.85281,2.57976,0.60324,0.85841,0.93489,0.000841222,0.000841222,0.000841222
31,361.902,0.90273,2.22686,0.64234,0.72171,0.95286,0.99518,1,0.995,0.75188,0.99518,1,0.995,0.47741,0.85281,2.57976,0.60324,0.85841,0.93489,0.00085766,0.00085766,0.00085766
32,373.314,0.9334,2.34687,0.61659,0.72749,0.96924,0.9877,1,0.995,0.72898,0.9877,1,0.995,0.55315,0.92388,2.35324,0.59447,0.90833,0.9548,0.000873306,0.000873306,0.000873306
33,384.843,0.88334,2.13141,0.6196,0.767,0.93351,0.96235,1,0.99412,0.74038,0.96235,1,0.99412,0.59131,0.95956,2.22509,0.58344,0.78303,0.97832,0.00088816,0.00088816,0.00088816
34,396.409,0.93974,2.04215,0.59561,0.69781,0.98261,0.96235,1,0.99412,0.74038,0.96235,1,0.99412,0.59131,0.95956,2.22509,0.58344,0.78303,0.97832,0.000902222,0.000902222,0.000902222
35,408.659,0.87177,2.10757,0.60304,0.66324,0.93697,0.93963,1,0.99056,0.78705,0.93963,1,0.99056,0.62918,0.86693,2.10766,0.5753,0.6694,0.93292,0.000915492,0.000915492,0.000915492
36,420.298,0.76427,2.03064,0.60332,0.68471,0.93528,0.97001,0.98021,0.99412,0.83403,0.97001,0.98021,0.99412,0.73696,0.75028,1.69669,0.5691,0.66359,0.88598,0.00092797,0.00092797,0.00092797
37,432.247,0.85467,1.8277,0.59896,0.64384,0.96901,0.97001,0.98021,0.99412,0.83403,0.97001,0.98021,0.99412,0.73696,0.75028,1.69669,0.5691,0.66359,0.88598,0.000939656,0.000939656,0.000939656
38,444.4,0.88481,2.12511,0.59488,0.70806,0.95025,0.99795,1,0.995,0.74123,0.99795,1,0.995,0.77073,0.89468,1.55534,0.55668,0.69159,0.94961,0.00095055,0.00095055,0.00095055
39,456.306,0.86292,1.77999,0.56614,0.64722,0.87191,0.99833,1,0.995,0.74249,0.99833,1,0.995,0.73463,0.91589,1.53824,0.54062,0.66835,0.96039,0.000960652,0.000960652,0.000960652
40,468.102,0.80951,1.9139,0.5585,0.62771,0.88794,0.99833,1,0.995,0.74249,0.99833,1,0.995,0.73463,0.91589,1.53824,0.54062,0.66835,0.96039,0.000969962,0.000969962,0.000969962
41,479.717,0.81299,1.63405,0.57882,0.62449,0.94862,0.96524,0.9697,0.96521,0.72874,0.96524,0.9697,0.96521,0.68917,0.86223,1.54371,0.52506,0.70015,0.9287,0.00097848,0.00097848,0.00097848
42,491.353,0.7835,1.55254,0.55483,0.62287,0.93208,0.99009,0.9697,0.98123,0.73063,0.99009,0.9697,0.98123,0.64976,0.90044,1.5275,0.50019,0.90602,0.93159,0.000986206,0.000986206,0.000986206
