epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1576.05,1.01303,0.84245,0.35503,0.65458,1.03183,0.93402,0.94326,0.98198,0.7235,0.94202,0.95035,0.98637,0.85078,0.94564,0.55706,0.15374,0.63207,1.01138,0.0014852,0.0014852,0.0014852
28,1631.18,1.01331,0.7681,0.30659,0.65568,1.03013,0.96472,0.96964,0.98665,0.7509,0.97177,0.97651,0.99051,0.88835,0.89833,0.47446,0.15522,0.59723,0.99441,0.0014654,0.0014654,0.0014654
29,1686.14,1.0869,0.75914,0.36864,0.67334,1.04871,0.97829,0.95745,0.98688,0.70485,0.98553,0.96454,0.98927,0.87728,1.01632,0.47274,0.14821,0.60644,1.02754,0.0014456,0.0014456,0.0014456
30,1740.55,1.01677,0.73533,0.34243,0.65549,1.02626,0.98315,0.97163,0.98711,0.73584,0.98315,0.97163,0.98711,0.89224,0.96084,0.45823,0.15798,0.59569,1.00253,0.0014258,0.0014258,0.0014258
31,1795.43,1.01229,0.74898,0.35961,0.66827,1.03802,0.99109,0.97163,0.99339,0.75907,0.98815,0.97163,0.99396,0.89843,0.8856,0.44307,0.15535,0.55091,0.9715,0.001406,0.001406,0.001406
32,1850.52,0.97772,0.69975,0.36222,0.61351,0.98632,0.99639,0.96454,0.99308,0.73444,0.99639,0.96454,0.99308,0.9072,0.95671,0.4448,0.15964,0.58781,1.01538,0.0013862,0.0013862,0.0013862
33,1905.85,0.96567,0.69772,0.36323,0.60918,1.01134,1,0.96178,0.99301,0.78548,0.99283,0.98209,0.99465,0.9198,0.82946,0.39199,0.15341,0.53615,0.95294,0.0013664,0.0013664,0.0013664
34,1960.72,0.90571,0.56676,0.31984,0.58522,0.98198,0.98925,0.96454,0.9926,0.75025,0.97217,0.99113,0.99299,0.92127,0.94967,0.45018,0.16013,0.55178,0.99089,0.0013466,0.0013466,0.0013466
35,2016.78,0.98611,0.74097,0.37653,0.59495,0.99832,0.95883,0.99112,0.9936,0.78391,0.95751,1,0.9936,0.94176,0.81002,0.3612,0.15344,0.51388,0.94455,0.0013268,0.0013268,0.0013268
36,2071.67,0.99825,0.61476,0.39292,0.58768,1.00479,0.98139,0.99291,0.99479,0.76528,0.98139,0.99291,0.99479,0.93386,0.90102,0.39213,0.14942,0.52543,0.97278,0.001307,0.001307,0.001307
